Variable;Group
RECO_DT_VUT_MEAN;DAYTIME
RECO_DT_VUT_SE;DAYTIME
RECO_DT_VUT_XX;DAYTIME
RECO_DT_CUT_REF;DAYTIME
RECO_DT_CUT_USTAR50;DAYTIME
RECO_DT_CUT_MEAN;DAYTIME
RECO_DT_CUT_SE;DAYTIME
RECO_DT_CUT_XX;DAYTIME
GPP_DT_VUT_REF;DAYTIME
GPP_DT_VUT_USTAR50;DAYTIME
GPP_DT_VUT_MEAN;DAYTIME
GPP_DT_VUT_SE;DAYTIME
GPP_DT_VUT_XX;DAYTIME
GPP_DT_CUT_REF;DAYTIME
GPP_DT_CUT_USTAR50;DAYTIME
GPP_DT_CUT_MEAN;DAYTIME
GPP_DT_CUT_SE;DAYTIME
GPP_DT_CUT_XX;DAYTIME
RECO_SR;SUNDOWN
RECO_SR_N;SUNDOWN
